SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
125828	6291400	0.102	-0.042	0.2142	-0.0882
125829	6291450	0.31	0.34	0.651	0.714
125830	6291500	0.926	0.889	1.9446	1.8669
125831	6291550	0.688	0.777	1.4448	1.6317
125832	6291600	0.271	0.126	0.5691	0.2646
125833	6291650	0.033	-0.016	0.0693	-0.0336
125834	6291700	0.323	0.331	0.6783	0.6951
125835	6291750	0.535	0.484	1.1235	1.0164
125836	6291800	0.373	0.278	0.7833	0.5838
125837	6291850	0.077	0.032	0.1617	0.0672
125838	6291900	0.461	0.297	0.9681	0.6237
125839	6291950	0.628	0.619	1.3188	1.2999
125840	6292000	0.455	0.539	0.9555	1.1319
125841	6292050	0.254	0.172	0.5334	0.3612
125842	6292100	0.097	0.17	0.2037	0.357
125843	6292150	0.379	0.336	0.7959	0.7056
125844	6292200	0.462	0.48	0.9702	1.008
125845	6292250	0.231	0.352	0.4851	0.7392
125846	6292300	0.014	-0.002	0.0294	-0.0042
125847	6292350	0.079	0.132	0.1659	0.2772
125848	6292400	0.361	0.444	0.7581	0.9324
125849	6292450	0.474	0.505	0.9954	1.0605
125850	6292500	0.126	0.233	0.2646	0.4893
125851	6292550	0.028	0.008	0.0588	0.0168
125852	6292600	0.324	0.251	0.6804	0.5271
125853	6292650	0.449	0.53	0.9429	1.113
125854	6292700	0.338	0.301	0.7098	0.6321
125855	6292750	0.052	0.132	0.1092	0.2772
125856	6292800	0.107	0.178	0.2247	0.3738
125857	6292850	0.437	0.351	0.9177	0.7371
125858	6292900	0.53	0.467	1.113	0.9807
125859	6292950	0.261	0.133	0.5481	0.2793
125860	6293000	0.065	0.053	0.1365	0.1113
125861	6293050	0.422	0.463	0.8862	0.9723
125862	6293100	0.567	0.581	1.1907	1.2201
125863	6293150	0.402	0.304	0.8442	0.6384
125864	6293200	0.005	0.007	0.0105	0.0147
125865	6293250	0.002	-0.003	0.0042	-0.0063
125866	6293300	0.003	-0.005	0.0063	-0.0105
125867	6293350	0.006	-0.006	0.0126	-0.0126
125868	6293400	0.007	-0.01	0.0147	-0.021
125869	6293450	0.008	-0.011	0.0168	-0.0231
125870	6293500	0.007	-0.01	0.0147	-0.021
125871	6293550	0.008	-0.009	0.0168	-0.0189
125872	6293600	0.006	-0.006	0.0126	-0.0126
125873	6293650	0.007	-0.007	0.0147	-0.0147
125874	6293700	0.008	-0.008	0.0168	-0.0168
125875	6293750	0.008	-0.007	0.0168	-0.0147
125876	6293800	0.011	-0.005	0.0231	-0.0105
125877	6293850	0.011	-0.008	0.0231	-0.0168
125878	6293900	0.01	-0.011	0.021	-0.0231
125879	6293950	0.011	-0.011	0.0231	-0.0231
125880	6294000	0.011	-0.011	0.0231	-0.0231
125881	6294050	0.011	-0.01	0.0231	-0.021
125882	6294100	0.01	-0.007	0.021	-0.0147
125883	6294150	0.008	-0.006	0.0168	-0.0126
125884	6294200	0.009	-0.008	0.0189	-0.0168
125885	6294250	0.009	-0.009	0.0189	-0.0189
125886	6294300	0.01	-0.008	0.021	-0.0168
125887	6294350	0.011	-0.007	0.0231	-0.0147
125888	6294400	0.011	-0.009	0.0231	-0.0189
125889	6294450	0.01	-0.007	0.021	-0.0147
125890	6294500	0.012	-0.007	0.0252	-0.0147
125891	6294550	0.013	-0.007	0.0273	-0.0147
125892	6294600	0.011	-0.006	0.0231	-0.0126
125893	6294650	0.011	-0.006	0.0231	-0.0126
125894	6294700	0.012	-0.006	0.0252	-0.0126
125895	6294750	0.009	-0.007	0.0189	-0.0147
125896	6294800	0.009	-0.009	0.0189	-0.0189
125897	6294850	0.011	-0.007	0.0231	-0.0147
125898	6294900	0.011	-0.004	0.0231	-0.0084
