,Learning Rate,Min Child Weight,Average Accuracy
21,0.060000000000000005,1.0,0.6451724137931034
51,0.060000000000000005,2.5,0.6444827586206896
2,0.11,0.0,0.6427586206896553
11,0.060000000000000005,0.5,0.6413793103448275
31,0.060000000000000005,1.5,0.6403448275862069
1,0.060000000000000005,0.0,0.6396551724137931
50,0.01,2.5,0.6389655172413793
71,0.060000000000000005,3.5,0.6386206896551725
61,0.060000000000000005,3.0,0.6386206896551724
81,0.060000000000000005,4.0,0.6382758620689655
41,0.060000000000000005,2.0,0.6382758620689655
32,0.11,1.5,0.6379310344827587
22,0.11,1.0,0.6375862068965518
20,0.01,1.0,0.636896551724138
12,0.11,0.5,0.6368965517241378
72,0.11,3.5,0.636551724137931
40,0.01,2.0,0.6362068965517241
60,0.01,3.0,0.636206896551724
53,0.16000000000000003,2.5,0.6358620689655172
82,0.11,4.0,0.6358620689655172
30,0.01,1.5,0.6358620689655172
10,0.01,0.5,0.6355172413793104
0,0.01,0.0,0.6351724137931034
80,0.01,4.0,0.6341379310344827
70,0.01,3.5,0.6337931034482759
14,0.21000000000000002,0.5,0.6327586206896552
33,0.16000000000000003,1.5,0.6313793103448276
23,0.16000000000000003,1.0,0.6313793103448275
73,0.16000000000000003,3.5,0.6310344827586206
62,0.11,3.0,0.6306896551724138
34,0.21000000000000002,1.5,0.6303448275862069
42,0.11,2.0,0.63
75,0.26,3.5,0.6296551724137931
24,0.21000000000000002,1.0,0.6293103448275863
83,0.16000000000000003,4.0,0.6286206896551725
84,0.21000000000000002,4.0,0.6286206896551724
52,0.11,2.5,0.6286206896551724
76,0.31000000000000005,3.5,0.6282758620689656
46,0.31000000000000005,2.0,0.6282758620689655
64,0.21000000000000002,3.0,0.6275862068965518
74,0.21000000000000002,3.5,0.626551724137931
4,0.21000000000000002,0.0,0.626551724137931
63,0.16000000000000003,3.0,0.626551724137931
43,0.16000000000000003,2.0,0.626206896551724
13,0.16000000000000003,0.5,0.6258620689655172
86,0.31000000000000005,4.0,0.6251724137931035
47,0.36000000000000004,2.0,0.6244827586206897
65,0.26,3.0,0.6244827586206896
3,0.16000000000000003,0.0,0.6244827586206896
15,0.26,0.5,0.6237931034482759
44,0.21000000000000002,2.0,0.6237931034482759
85,0.26,4.0,0.6234482758620689
6,0.31000000000000005,0.0,0.6231034482758621
25,0.26,1.0,0.6227586206896552
89,0.46,4.0,0.6220689655172413
35,0.26,1.5,0.6217241379310344
56,0.31000000000000005,2.5,0.6213793103448276
5,0.26,0.0,0.6213793103448276
54,0.21000000000000002,2.5,0.6213793103448276
36,0.31000000000000005,1.5,0.6210344827586206
17,0.36000000000000004,0.5,0.6203448275862069
7,0.36000000000000004,0.0,0.6199999999999999
66,0.31000000000000005,3.0,0.6199999999999999
45,0.26,2.0,0.6196551724137931
68,0.41000000000000003,3.0,0.6175862068965516
16,0.31000000000000005,0.5,0.6168965517241379
67,0.36000000000000004,3.0,0.6168965517241378
69,0.46,3.0,0.6155172413793103
19,0.46,0.5,0.6148275862068966
55,0.26,2.5,0.6148275862068966
28,0.41000000000000003,1.0,0.6137931034482759
57,0.36000000000000004,2.5,0.6137931034482759
37,0.36000000000000004,1.5,0.6137931034482759
18,0.41000000000000003,0.5,0.6137931034482758
48,0.41000000000000003,2.0,0.6127586206896553
29,0.46,1.0,0.6127586206896551
27,0.36000000000000004,1.0,0.6124137931034482
87,0.36000000000000004,4.0,0.6120689655172414
78,0.41000000000000003,3.5,0.6117241379310344
59,0.46,2.5,0.6113793103448276
88,0.41000000000000003,4.0,0.6113793103448276
79,0.46,3.5,0.6110344827586207
8,0.41000000000000003,0.0,0.6110344827586207
58,0.41000000000000003,2.5,0.6110344827586206
49,0.46,2.0,0.6096551724137932
77,0.36000000000000004,3.5,0.6096551724137932
39,0.46,1.5,0.6086206896551725
9,0.46,0.0,0.6082758620689654
26,0.31000000000000005,1.0,0.6075862068965516
38,0.41000000000000003,1.5,0.6
