,Learning Rate,Min Child Weight,Average Accuracy
40,0.01,2.0,0.8363309417201632
50,0.01,2.5,0.8363255471039903
60,0.01,3.0,0.8363165560770351
10,0.01,0.5,0.8357249465033896
20,0.01,1.0,0.8351315387243531
30,0.01,1.5,0.8345309381237526
80,0.01,4.0,0.8339285393177608
71,0.060000000000000005,3.5,0.8339267411123699
45,0.26,2.0,0.8339249429069788
1,0.060000000000000005,0.0,0.8339159518800237
73,0.16000000000000003,3.5,0.8333261405117692
43,0.16000000000000003,2.0,0.8333261405117692
12,0.11,0.5,0.8327255399111687
61,0.060000000000000005,3.0,0.8327237417057776
11,0.060000000000000005,0.5,0.8321267375159591
82,0.11,4.0,0.8321267375159589
0,0.01,0.0,0.8321249393105681
41,0.060000000000000005,2.0,0.8315315315315315
65,0.26,3.0,0.8315297333261406
83,0.16000000000000003,4.0,0.8309345273417129
3,0.16000000000000003,0.0,0.830932729136322
52,0.11,2.5,0.830930930930931
21,0.060000000000000005,1.0,0.8309219399039758
22,0.11,1.0,0.8303357249465033
81,0.060000000000000005,4.0,0.8303357249465033
31,0.060000000000000005,1.5,0.8303339267411124
70,0.01,3.5,0.8303267339195483
75,0.26,3.5,0.8297405189620758
42,0.11,2.0,0.8297351243459028
77,0.36000000000000004,3.5,0.8297315279351208
72,0.11,3.5,0.8297297297297297
16,0.31000000000000005,0.5,0.8291291291291291
54,0.21000000000000002,2.5,0.8285375195554836
37,0.36000000000000004,1.5,0.8285357213500927
8,0.41000000000000003,0.0,0.8279369189548831
76,0.31000000000000005,3.5,0.8279333225441011
51,0.060000000000000005,2.5,0.8279333225441011
84,0.21000000000000002,4.0,0.8279333225441009
24,0.21000000000000002,1.0,0.8273399147650645
15,0.26,0.5,0.8273381165596735
67,0.36000000000000004,3.0,0.8273363183542826
35,0.26,1.5,0.8273363183542826
13,0.16000000000000003,0.5,0.8273345201488913
55,0.26,2.5,0.8273291255327184
64,0.21000000000000002,3.0,0.8267303231375088
32,0.11,1.5,0.8267303231375088
63,0.16000000000000003,3.0,0.8267285249321178
5,0.26,0.0,0.8261441081800364
4,0.21000000000000002,0.0,0.8261387135638631
7,0.36000000000000004,0.0,0.8261351171530812
33,0.16000000000000003,1.5,0.8261297225369082
85,0.26,4.0,0.8255381129632626
44,0.21000000000000002,2.0,0.8255363147578716
14,0.21000000000000002,0.5,0.8255327183470896
53,0.16000000000000003,2.5,0.8255327183470896
62,0.11,3.0,0.8255309201416985
19,0.46,0.5,0.8249483015950082
34,0.21000000000000002,1.5,0.8249465033896172
74,0.21000000000000002,3.5,0.8249375123626621
6,0.31000000000000005,0.0,0.8243441045836256
49,0.46,2.0,0.8243405081728437
27,0.36000000000000004,1.0,0.8243369117620615
47,0.36000000000000004,2.0,0.8243351135566706
79,0.46,3.5,0.8243333153512793
23,0.16000000000000003,1.0,0.8243315171458885
36,0.31000000000000005,1.5,0.8237488985991981
89,0.46,4.0,0.823736311161461
46,0.31000000000000005,2.0,0.823732714750679
86,0.31000000000000005,4.0,0.8231411051770333
56,0.31000000000000005,2.5,0.8231357105608602
26,0.31000000000000005,1.0,0.8231339123554694
57,0.36000000000000004,2.5,0.8231339123554692
2,0.11,0.0,0.8231339123554692
25,0.26,1.0,0.8219399039758322
88,0.41000000000000003,4.0,0.821932711154268
9,0.46,0.0,0.8213500926075777
38,0.41000000000000003,1.5,0.8213375051698406
66,0.31000000000000005,3.0,0.8213339087590585
68,0.41000000000000003,3.0,0.8207387027746311
78,0.41000000000000003,3.5,0.8201488914063765
18,0.41000000000000003,0.5,0.8201452949955943
59,0.46,2.5,0.8201363039686393
29,0.46,1.0,0.8189458919997842
48,0.41000000000000003,2.0,0.8189404973836112
28,0.41000000000000003,1.0,0.8189386991782202
69,0.46,3.0,0.8189369009728292
39,0.46,1.5,0.818931506356656
58,0.41000000000000003,2.5,0.8183416949884016
17,0.36000000000000004,0.5,0.8171458884033734
87,0.36000000000000004,4.0,0.8159464854075633
